date,party,lower_95_ev,lower_60_ev,median_ev,upper_60_ev,upper_95_ev
2020-10-05,republican,117,163,197,244,316
2020-10-06,democratic,223,295,341,377,421
2020-10-06,republican,117,161,197,243,315
2020-10-07,democratic,224,302,346,380,421.025
2020-10-07,republican,116.975,158,192,236,314
2020-10-08,democratic,229,307,350,387,424
2020-10-08,republican,114,151,188,231,309
2020-10-09,democratic,229,304,350,384,424
2020-10-09,republican,114,154,188,234,309
2020-10-10,democratic,229,304,350,383,424
2020-10-10,republican,114,155,188,234,309
2020-10-11,democratic,227,303,347,383,422
2020-10-11,republican,116,155,191,235,311
2020-10-12,democratic,227,300,345,383,422
2020-10-12,republican,116,155,193,238,311
2020-10-13,democratic,227,302,343,377,421
2020-10-13,republican,117,161,195,236,311
2020-10-14,democratic,227,302,345,378,418
2020-10-14,republican,120,160,193,236,311
2020-10-15,democratic,227,302,343,378,415
2020-10-15,republican,123,160,195,236,311
2020-10-16,democratic,227,302,343,378,415
2020-10-16,republican,123,160,195,236,311
2020-10-17,democratic,226,300,341,377,415
2020-10-17,republican,123,161,197,238,312
2020-10-18,democratic,225,299,340,377,415
2020-10-18,republican,123,161,198,239,313
2020-10-19,democratic,230,304,345,378,418
2020-10-19,republican,120,160,193,234,308
2020-10-20,democratic,235,308,350,387,421
2020-10-20,republican,117,151,188,230,303
2020-10-21,democratic,233,306,347,380,418
2020-10-21,republican,120,158,191,232,305
2020-10-22,democratic,229.975,304,343,378,415
2020-10-22,republican,123,160,195,234,308.025
2020-10-23,democratic,230,304,341,377,415
2020-10-23,republican,123,161,197,234,308
2020-10-24,democratic,231.975,304,343,378,415
2020-10-24,republican,123,160,195,234,306.025
2020-10-25,democratic,243,310,350,384,421
2020-10-25,republican,117,154,188,228,295
2020-10-26,democratic,250,314,352,383,421
2020-10-26,republican,117,155,186,224,288
2020-10-27,democratic,253,315,356,383,421
2020-10-27,republican,117,155,182,223,285
2020-10-28,democratic,254,317,356,383,418
2020-10-28,republican,120,155,182,221,284
2020-10-29,democratic,253,310,350,377,415
2020-10-29,republican,123,161,188,228,285
