State,State_abb,state_fips,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
Wyoming,WY,56,4-Sep,3,60,0.0045,0.006693992,0.006035794
Alabama,AL,1,25-Aug,9,70,0.063,0.132004383,0.118203507
Alaska,AK,2,25-Aug,3,70,0.2175,0.045289878,0.079731903
Arizona,AZ,4,25-Aug,11,70,0.6635,0.547332296,0.570565837
Arkansas,AR,5,25-Aug,6,70,0.149,0.384865852,0.337692681
California,CA,6,25-Aug,55,70,0.9875,0.990503075,0.98990246
Colorado,CO,8,25-Aug,9,70,0.894,0.774968199,0.798774559
Connecticut,CT,9,25-Aug,7,70,0.834,0.917809834,0.901047867
Delaware,DE,10,25-Aug,3,70,0.7895,0.966054366,0.930743493
District of Columbia,DC,11,25-Aug,3,70,0.991,0.995658298,0.994726638
Florida,FL,12,25-Aug,29,70,0.826,0.560039266,0.613231413
Georgia,GA,13,25-Aug,16,70,0.3935,0.492344744,0.472575795
Hawaii,HI,15,25-Aug,4,70,0.941,0.960233819,0.956387055
Idaho,ID,16,25-Aug,4,70,0.078,0.06905339,0.070842712
Illinois,IL,17,25-Aug,20,70,0.7905,0.980379475,0.94240358
Indiana,IN,18,25-Aug,11,70,0.1355,0.21694777,0.200658216
Iowa,IA,19,25-Aug,6,70,0.3025,0.353972678,0.343678143
Kansas,KS,20,25-Aug,6,70,0.1095,0.086331508,0.090965207
Kentucky,KY,21,25-Aug,8,70,0.0135,0.245196768,0.198857414
Louisiana,LA,22,25-Aug,8,70,0.196,0.328407961,0.301926368
Maine,ME,23,25-Aug,4,70,0.603,0.920177091,0.856741673
Maryland,MD,24,25-Aug,10,70,0.892,0.983556382,0.965245105
Massachusetts,MA,25,25-Aug,11,70,0.9625,0.982387198,0.978409758
Michigan,MI,26,25-Aug,16,70,0.9645,0.744675179,0.788640143
Minnesota,MN,27,25-Aug,10,70,0.7575,0.929820352,0.895356282
Mississippi,MS,28,25-Aug,6,70,0.1775,0.137180359,0.145244287
Missouri,MO,29,25-Aug,10,70,0.169,0.120384995,0.130107996
Montana,MT,30,25-Aug,3,70,0.0725,0.0787406,0.07749248
Nebraska,NE,31,25-Aug,5,70,0.2305,0.046977439,0.083681951
Nevada,NV,32,25-Aug,6,70,0.4985,0.755575633,0.704160506
New Hampshire,NH,33,25-Aug,4,70,0.598,0.770472938,0.735978351
New Jersey,NJ,34,25-Aug,14,70,0.882,0.956705967,0.941764773
New Mexico,NM,35,25-Aug,5,70,0.7835,0.929873556,0.900598845
New York,NY,36,25-Aug,29,70,0.9875,0.955163306,0.961630645
North Carolina,NC,37,25-Aug,15,70,0.4965,0.420459909,0.435667927
North Dakota,ND,38,25-Aug,3,70,0.0355,0.012254962,0.01690397
Ohio,OH,39,25-Aug,18,70,0.338,0.377368882,0.369495106
Oklahoma,OK,40,25-Aug,7,70,0.054,0.045801796,0.047441437
Oregon,OR,41,25-Aug,7,70,0.7145,0.984984842,0.930887874
Pennsylvania,PA,42,25-Aug,20,70,0.7865,0.726190669,0.738252535
Rhode Island,RI,44,25-Aug,4,70,0.7155,0.929641358,0.886813087
South Carolina,SC,45,25-Aug,9,70,0.218,0.19643323,0.200746584
South Dakota,SD,46,25-Aug,3,70,0.0755,0.013020918,0.025516735
Tennessee,TN,47,25-Aug,11,70,0.0635,0.319544468,0.268335575
Texas,TX,48,25-Aug,38,70,0.379,0.18556533,0.224252264
Utah,UT,49,25-Aug,6,70,0.122,0.37877746,0.327421968
Vermont,VT,50,25-Aug,3,70,0.9005,0.975480881,0.960484705
Virginia,VA,51,25-Aug,13,70,0.7345,0.74546123,0.743268984
Washington,WA,53,25-Aug,12,70,0.875,0.977381984,0.956905587
